波浪参数敏感性扫描报告（参数标定阶段1）
==============================================================================
声明: 研究项目，禁止自动下单。信号不可用于真实交易。
生成时间: 2026-09-01 15:46:20
扫描网格: SWING_N [3, 5, 7] × SWING_ATR_MULT [0.5, 1.0, 1.5] × WAVE_WINDOW [10, 14, 20] = 27 组
品种: BITCOIN, XAUUSD, XAGUSD, WTI
采样: 起点=第600根日线, 每7根一次（周线只取已闭合K线, 每轮重置波浪缓存）

【指标口径】
  数浪稳定性: 滚动数浪 vs 事后数浪（全量周线compute, 近似金标准）
    - bias一致率: 滚动采样点中 bias 与事后金标准一致的比例（越大越稳）
    - bias切换次数: 相邻采样点 bias 翻转次数（越小越稳）
  信号质量（信号制: 每个LONG_OPEN独立跟踪, 不去重、不模拟真实持仓;
               口径与阶段0一致, 统一用收盘价判定）:
    - 可执行信号 = LONG_OPEN 且 position_rate>0 且止损有效(risk>0)
    - +1R/+2R概率: 信号后 N 个交易日内收盘价达到开仓价+1R/+2R止损距离
    - 破止损概率: 信号后 N 个交易日内出现连续2根收盘<止损价
    - 60日均R: 60日窗口内先触发止损=-1R/先触发2R止盈=+2R(止损优先),
               否则按第60日收盘结算 (close-open)/risk, 所有信号平均

【4品种平均汇总表】（概率列为有信号品种的平均, 信号数为4品种合计）
  参数组         bias一致%  bias切换  label一致%  信号数  +1R30  +2R30  破SL30  +1R60  +2R60  破SL60  +1R90  +2R90  破SL90  60日均R
  参数组         bias一致%  bias切换  label一致%  信号数  +1R30  +2R30  破SL30  +1R60  +2R60  破SL60  +1R90  +2R90  破SL90  60日均R
  N7 M1.0 W10     75.0       8      16.3     14     7.1    0.0   14.3   28.6    7.1   21.4   35.7   14.3   21.4   +0.112
  N7 M1.0 W14     75.0       8      16.3     14     7.1    0.0   14.3   28.6    7.1   21.4   35.7   14.3   21.4   +0.112
  N7 M1.0 W20     75.0       8      16.3     14     7.1    0.0   14.3   28.6    7.1   21.4   35.7   14.3   21.4   +0.112
  N7 M0.5 W10     75.0       8      20.7     14     7.1    0.0   14.3   28.6    7.1   21.4   35.7   14.3   21.4   +0.112
  N7 M0.5 W14     75.0       8      20.7     14     7.1    0.0   14.3   28.6    7.1   21.4   35.7   14.3   21.4   +0.112
  N7 M0.5 W20     75.0       8      20.7     14     7.1    0.0   14.3   28.6    7.1   21.4   35.7   14.3   21.4   +0.112
  N7 M1.5 W10     74.5      10      46.6     14     7.1    0.0   14.3   28.6    7.1   21.4   35.7   14.3   21.4   +0.112
  N7 M1.5 W14     74.5      10      46.6     14     7.1    0.0   14.3   28.6    7.1   21.4   35.7   14.3   21.4   +0.112
  N7 M1.5 W20     74.5      10      46.6     14     7.1    0.0   14.3   28.6    7.1   21.4   35.7   14.3   21.4   +0.112
  N5 M1.0 W10     76.0       9      12.0     15     6.7    0.0   13.3   40.0    6.7   20.0   46.7   13.3   20.0   +0.212
  N5 M1.0 W14     76.0       9      12.0     15     6.7    0.0   13.3   40.0    6.7   20.0   46.7   13.3   20.0   +0.212
  N5 M1.0 W20     76.0       9      12.0     15     6.7    0.0   13.3   40.0    6.7   20.0   46.7   13.3   20.0   +0.212
  N5 M0.5 W10     76.0       9      19.7     15     6.7    0.0   13.3   40.0    6.7   20.0   46.7   13.3   20.0   +0.212
  N5 M0.5 W14     76.0       9      19.7     15     6.7    0.0   13.3   40.0    6.7   20.0   46.7   13.3   20.0   +0.212
  N5 M0.5 W20     76.0       9      19.7     15     6.7    0.0   13.3   40.0    6.7   20.0   46.7   13.3   20.0   +0.212
  N5 M1.5 W10     75.5      11      48.1     15     6.7    0.0   13.3   40.0    6.7   20.0   46.7   13.3   20.0   +0.212
  N5 M1.5 W14     75.5      11      48.1     15     6.7    0.0   13.3   40.0    6.7   20.0   46.7   13.3   20.0   +0.212
  N5 M1.5 W20     75.5      11      48.1     15     6.7    0.0   13.3   40.0    6.7   20.0   46.7   13.3   20.0   +0.212
  N3 M1.0 W10     39.9      12      64.9     11     0.0    0.0    0.0   45.5    9.1    0.0   54.5   18.2    0.0   +0.523
  N3 M1.0 W14     39.9      12      64.9     11     0.0    0.0    0.0   45.5    9.1    0.0   54.5   18.2    0.0   +0.523
  N3 M1.0 W20     39.9      12      64.9     11     0.0    0.0    0.0   45.5    9.1    0.0   54.5   18.2    0.0   +0.523
  N3 M0.5 W10     40.9      12      66.3     11     0.0    0.0    0.0   45.5    9.1    0.0   54.5   18.2    0.0   +0.523
  N3 M0.5 W14     40.9      12      66.3     11     0.0    0.0    0.0   45.5    9.1    0.0   54.5   18.2    0.0   +0.523
  N3 M0.5 W20     40.9      12      66.3     11     0.0    0.0    0.0   45.5    9.1    0.0   54.5   18.2    0.0   +0.523
  N3 M1.5 W10     38.0      12      60.6      9     0.0    0.0    0.0   55.6   11.1    0.0   66.7   22.2    0.0   +0.638
  N3 M1.5 W14     38.0      12      60.6      9     0.0    0.0    0.0   55.6   11.1    0.0   66.7   22.2    0.0   +0.638
  N3 M1.5 W20     38.0      12      60.6      9     0.0    0.0    0.0   55.6   11.1    0.0   66.7   22.2    0.0   +0.638

------------------------------------------------------------------------------
[XAGUSD]（参数组 | bias一致% | bias切换 | label一致% | 信号数 | +1R30 | +2R30 | 破SL30 | +1R60 | +2R60 | 破SL60 | +1R90 | +2R90 | 破SL90 | 60日均R）
  参数组         bias一致%  bias切换  label一致%  信号数  +1R30  +2R30  破SL30  +1R60  +2R60  破SL60  +1R90  +2R90  破SL90  60日均R
  N7 M1.0 W10     49.3      13      59.9      7    28.6    0.0    0.0   28.6    0.0    0.0   28.6    0.0    0.0   +0.197
  N7 M1.0 W14     49.3      13      59.9      7    28.6    0.0    0.0   28.6    0.0    0.0   28.6    0.0    0.0   +0.197
  N7 M1.0 W20     49.3      13      59.9      7    28.6    0.0    0.0   28.6    0.0    0.0   28.6    0.0    0.0   +0.197
  N7 M0.5 W10     53.6      13      66.2      6    33.3    0.0    0.0   33.3    0.0    0.0   33.3    0.0    0.0   +0.167
  N7 M0.5 W14     53.6      13      66.2      6    33.3    0.0    0.0   33.3    0.0    0.0   33.3    0.0    0.0   +0.167
  N7 M0.5 W20     53.6      13      66.2      6    33.3    0.0    0.0   33.3    0.0    0.0   33.3    0.0    0.0   +0.167
  N7 M1.5 W10     46.4      12      57.0      7    28.6    0.0    0.0   28.6    0.0    0.0   28.6    0.0    0.0   +0.197
  N7 M1.5 W14     46.4      12      57.0      7    28.6    0.0    0.0   28.6    0.0    0.0   28.6    0.0    0.0   +0.197
  N7 M1.5 W20     46.4      12      57.0      7    28.6    0.0    0.0   28.6    0.0    0.0   28.6    0.0    0.0   +0.197
  N5 M1.0 W10     48.8      13      64.3      5    40.0    0.0    0.0   40.0    0.0    0.0   40.0    0.0    0.0   +0.197
  N5 M1.0 W14     48.8      13      64.3      5    40.0    0.0    0.0   40.0    0.0    0.0   40.0    0.0    0.0   +0.197
  N5 M1.0 W20     48.8      13      64.3      5    40.0    0.0    0.0   40.0    0.0    0.0   40.0    0.0    0.0   +0.197
  N5 M0.5 W10     50.2      13      69.6      5    40.0    0.0    0.0   40.0    0.0    0.0   40.0    0.0    0.0   +0.197
  N5 M0.5 W14     50.2      13      69.6      5    40.0    0.0    0.0   40.0    0.0    0.0   40.0    0.0    0.0   +0.197
  N5 M0.5 W20     50.2      13      69.6      5    40.0    0.0    0.0   40.0    0.0    0.0   40.0    0.0    0.0   +0.197
  N5 M1.5 W10     49.3      17      69.6      4    50.0    0.0    0.0   50.0    0.0    0.0   50.0    0.0    0.0   +0.152
  N5 M1.5 W14     49.3      17      69.6      4    50.0    0.0    0.0   50.0    0.0    0.0   50.0    0.0    0.0   +0.152
  N5 M1.5 W20     49.3      17      69.6      4    50.0    0.0    0.0   50.0    0.0    0.0   50.0    0.0    0.0   +0.152
  N3 M1.0 W10     49.3      17      61.8      7    28.6    0.0    0.0   28.6    0.0    0.0   28.6    0.0    0.0   +0.197
  N3 M1.0 W14     49.3      17      61.8      7    28.6    0.0    0.0   28.6    0.0    0.0   28.6    0.0    0.0   +0.197
  N3 M1.0 W20     49.3      17      61.8      7    28.6    0.0    0.0   28.6    0.0    0.0   28.6    0.0    0.0   +0.197
  N3 M0.5 W10     49.3      17      63.3      7    28.6    0.0    0.0   28.6    0.0    0.0   28.6    0.0    0.0   +0.197
  N3 M0.5 W14     49.3      17      63.3      7    28.6    0.0    0.0   28.6    0.0    0.0   28.6    0.0    0.0   +0.197
  N3 M0.5 W20     49.3      17      63.3      7    28.6    0.0    0.0   28.6    0.0    0.0   28.6    0.0    0.0   +0.197
  N3 M1.5 W10     50.2      19      65.2      5    20.0    0.0    0.0   20.0    0.0    0.0   20.0    0.0    0.0   +0.138
  N3 M1.5 W14     50.2      19      65.2      5    20.0    0.0    0.0   20.0    0.0    0.0   20.0    0.0    0.0   +0.138
  N3 M1.5 W20     50.2      19      65.2      5    20.0    0.0    0.0   20.0    0.0    0.0   20.0    0.0    0.0   +0.138

------------------------------------------------------------------------------
[WTI]（参数组 | bias一致% | bias切换 | label一致% | 信号数 | +1R30 | +2R30 | 破SL30 | +1R60 | +2R60 | 破SL60 | +1R90 | +2R90 | 破SL90 | 60日均R）
  参数组         bias一致%  bias切换  label一致%  信号数  +1R30  +2R30  破SL30  +1R60  +2R60  破SL60  +1R90  +2R90  破SL90  60日均R
  N7 M1.0 W10     54.3       6      64.4      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
