品种,开仓时间,开仓价,止损价,风险距离,平仓时间,平仓价,持仓天数,R,结果,平仓原因
WTI,2021-11-22,76.2,61.48,14.72,2022-02-16,88.92,61,0.86,TIME_STOP,时间止损(61日)
WTI,2026-02-16,63.48,54.83,8.65,2026-03-06,88.84,14,2.0,WIN,2R止盈
