品种,开仓时间,开仓价,止损价,风险距离,平仓时间,平仓价,持仓天数,R,结果,平仓原因
NAS100,2023-02-16,12432.3,10664.7,1767.6,2023-05-12,13317.5,61,0.5,TIME_STOP,时间止损(61日)
NAS100,2023-05-16,13456.4,10664.7,2791.7,2023-08-09,15133.9,61,0.6,TIME_STOP,时间止损(61日)
NAS100,2024-01-09,16686.7,14699.1,1987.6,2024-04-04,17888.9,61,0.6,TIME_STOP,时间止损(61日)
NAS100,2024-06-05,19052.4,17324.6,1727.8,2024-08-29,19403.5,61,0.2,TIME_STOP,时间止损(61日)
NAS100,2024-11-28,20847.8,17324.6,3523.2,2025-02-25,21144.2,61,0.08,TIME_STOP,时间止损(61日)
NAS100,2025-08-25,23440.7,20545.7,2895.0,2025-11-18,24481.2,61,0.36,TIME_STOP,时间止损(61日)
