品种,开仓时间,开仓价,止损价,风险距离,平仓时间,平仓价,持仓天数,R,结果,平仓原因
XAGUSD,2023-05-03,25.58,18.13,7.45,2023-07-27,24.11,61,-0.2,TIME_STOP,时间止损(61日)
XAGUSD,2024-04-24,27.15,22.29,4.86,2024-07-18,29.79,61,0.55,TIME_STOP,时间止损(61日)
XAGUSD,2026-02-17,73.46,36.2,37.26,2026-05-14,83.47,61,0.27,TIME_STOP,时间止损(61日)
