采样时间,wave_label,bias,status,wave_broken
2025-02-06,4,BULL,RUNNING,False
2025-02-17,4,BULL,RUNNING,False
2025-02-26,5,BULL,RUNNING,False
2025-03-07,5,BULL,RUNNING,False
2025-03-18,3,BULL,RUNNING,True
2025-03-27,3,BULL,RUNNING,True
2025-04-07,5,BULL,COMPLETE,True
2025-04-16,5,BULL,COMPLETE,True
2025-04-28,5,BULL,COMPLETE,True
2025-05-07,5,BULL,COMPLETE,True
2025-05-16,5,BULL,COMPLETE,True
2025-05-27,A,BEAR,RUNNING,False
2025-06-05,A,BEAR,RUNNING,False
2025-06-16,A,BEAR,RUNNING,False
2025-06-25,A,BEAR,RUNNING,False
2025-07-04,5,BULL,RUNNING,False
2025-07-15,5,BULL,RUNNING,False
2025-07-24,5,BULL,RUNNING,False
2025-08-04,5,BULL,RUNNING,False
2025-08-13,5,BULL,RUNNING,False
2025-08-22,5,BULL,RUNNING,False
2025-09-02,5,BULL,RUNNING,False
2025-09-11,5,BULL,RUNNING,False
2025-09-22,5,BULL,RUNNING,False
2025-10-01,5,BULL,RUNNING,False
2025-10-10,5,BULL,RUNNING,False
2025-10-21,5,BULL,RUNNING,False
2025-10-30,5,BULL,RUNNING,False
2025-11-10,5,BULL,RUNNING,False
2025-11-19,5,BULL,RUNNING,False
2025-11-28,5,BULL,RUNNING,False
2025-12-09,5,BULL,RUNNING,False
2025-12-18,5,BULL,RUNNING,False
2025-12-30,3,BULL,RUNNING,False
2026-01-09,3,BULL,RUNNING,False
2026-01-20,3,BULL,RUNNING,False
2026-01-29,3,BULL,RUNNING,False
2026-02-09,3,BULL,RUNNING,False
2026-02-18,3,BULL,RUNNING,False
2026-02-27,3,BULL,RUNNING,False
2026-03-10,3,BULL,RUNNING,False
2026-03-19,3,BULL,RUNNING,False
2026-03-30,3,BULL,RUNNING,True
2026-04-08,3,BULL,RUNNING,False
2026-04-17,3,BULL,RUNNING,False
2026-04-28,4,BULL,RUNNING,False
2026-05-07,4,BULL,RUNNING,False
2026-05-18,4,BULL,RUNNING,False
2026-05-27,4,BULL,RUNNING,False
2026-06-05,4,BULL,RUNNING,False
2026-06-16,4,BULL,RUNNING,False
2026-06-25,4,BULL,RUNNING,False
2026-07-06,4,BULL,RUNNING,False
2026-07-15,4,BULL,RUNNING,False
2026-07-24,4,BULL,RUNNING,False
2026-08-04,4,BULL,RUNNING,False
2026-08-13,4,BULL,RUNNING,False
2026-08-24,4,BULL,RUNNING,False
