品种,开仓时间,开仓价,止损价,风险距离,平仓时间,平仓价,持仓天数,R,结果,平仓原因
XAUUSD,2021-10-04,1769.19,1682.6,86.59,2021-10-13,1792.57,7,0.27,WAVE_EXIT,周线转BEAR
XAUUSD,2021-12-01,1781.68,1682.6,99.08,2022-02-25,1888.06,61,1.07,TIME_STOP,时间止损(61日)
XAUUSD,2025-05-05,3332.89,2604.61,728.28,2025-07-29,3325.17,61,-0.01,TIME_STOP,时间止损(61日)
XAUUSD,2025-11-06,3977.09,3248.21,728.88,2026-02-03,4943.51,61,1.33,TIME_STOP,时间止损(61日)
XAUUSD,2026-03-17,5001.99,3248.21,1753.78,2026-06-11,4212.21,61,-0.45,TIME_STOP,时间止损(61日)
